,Coach,Appearance
0,Sir Alex Ferguson,190
1,Arsène Wenger,178
2,Carlo Ancelotti,166
3,José Mourinho,145
4,Josep Guardiola,135
5,Mircea Lucescu,109
6,Louis van Gaal,95
7,Ottmar Hitzfeld,95
8,Rafael Benítez,95
9,Massimiliano Allegri,86
10,Jürgen Klopp,79
11,Fabio Capello,78
12,Diego Simeone,77
13,Marcello Lippi,76
14,Manuel Pellegrini,66
15,Ronald Koeman,65
16,Roberto Mancini,61
17,Vicente del Bosque,60
18,Javier Iruretagoyena Amiano,58
19,Luciano Spalletti,57
20,Oleg Romantsev,56
21,Fatih Terim,53
22,Zinédine Zidane,53
23,Héctor Cúper,52
24,Nils Arne Eggen,49
25,Claude Puel,48
26,Claudio Ranieri,47
27,Jupp Heynckes,47
28,Guus Hiddink,46
29,Laurent Blanc,46
30,Didier Deschamps,45
31,Yuri Semin,45
32,Jorge Jesus,43
33,Thomas Tuchel,42
34,Ernesto Valverde,42
35,Felix Magath,40
36,Thomas Schaaf,40
37,Unai Emery,40
