1,Real,Madrid,CF,ESP,53,14,476,285,81,110,1047,521,651,526,
2,FC,Bayern,München,GER,39,6,382,229,76,77,804,373,534,431,
3,FC,Barcelona,ESP,33,5,339,197,76,66,667,343,470,324,,
4,Manchester,United,ENG,30,3,293,160,69,64,533,284,389,249,,
5,Juventus,ITA,37,2,301,153,70,78,479,301,376,178,,,
6,Liverpool,FC,ENG,27,6,248,142,50,56,472,228,334,244,,
7,AC,Milan,ITA,30,7,267,131,68,68,437,251,330,186,,
8,SL,Benfica,POR,42,2,287,130,67,90,475,334,327,141,,
9,FC,Porto,POR,37,2,269,121,61,87,395,304,303,91,,
10,AFC,Ajax,NED,39,4,247,112,64,71,396,282,288,114,,
11,FC,Dynamo,Kyiv,UKR,39,0,254,104,55,95,350,315,263,35,
12,Chelsea,FC,ENG,19,2,201,104,53,44,342,181,261,161,,
13,FC,Internazionale,Milano,ITA,24,3,205,98,54,53,290,204,250,86,
14,Arsenal,FC,ENG,21,0,201,101,43,57,332,218,245,114,,
15,Celtic,FC,SCO,37,1,222,101,39,82,337,270,241,67,,
16,Borussia,Dortmund,GER,21,1,170,81,33,56,287,214,195,73,,
17,Club,Atlético,de,Madrid,ESP,18,0,160,76,42,42,226,152,194,74
18,RSC,Anderlecht,BEL,34,0,200,70,44,86,282,320,184,-38,,
19,PSV,Eindhoven,NED,30,1,187,69,44,74,249,234,182,15,,
20,Paris,Saint-Germain,FRA,16,0,143,77,27,39,283,166,181,117,,
21,FK,Crvena,zvezda,SRB,28,1,151,70,33,48,278,203,173,75,
22,Rangers,FC,SCO,32,0,173,64,41,68,242,248,169,-6,,
23,Olympiacos,FC,GRE,35,0,186,66,36,84,222,283,168,-61,,
24,Olympique,Lyonnais,FRA,18,0,148,65,37,46,232,178,167,54,,
25,GNK,Dinamo,Zagreb,CRO,24,0,156,65,32,59,230,217,162,13,
26,Galatasaray,AŞ,TUR,27,0,177,57,43,77,215,279,157,-64,,
27,Manchester,City,FC,ENG,13,1,119,66,24,29,245,131,156,114,
28,FC,Shakhtar,Donetsk,UKR,23,0,152,58,36,58,214,231,152,-17,
29,Valencia,CF,ESP,13,0,128,57,35,36,191,130,149,61,,
30,Rosenborg,BK,NOR,25,0,152,58,31,63,224,232,147,-8,,
31,FCSB,ROU,26,1,145,52,41,52,203,204,145,-1,,,
32,Panathinaikos,FC,GRE,28,0,157,49,45,63,182,214,143,-32,,
33,AC,Sparta,Praha,CZE,28,0,146,54,30,62,190,203,138,-13,
34,FC,Basel,1893,SUI,21,0,118,47,23,48,170,192,117,-22,
35,AS,Monaco,FC,FRA,18,0,118,46,24,48,185,159,116,26,
36,Club,Brugge,BEL,23,0,127,43,30,54,157,186,116,-29,,
