,Coach,Club,Appearance,0
0,,,,Carlo Ancelotti
1,,,,FC Bayern München
2,,,,12
3,,,,Carlo Ancelotti
4,,,,Chelsea FC
5,,,,18
6,,,,Carlo Ancelotti
7,,,,AC Milan
8,,,,73
9,,,,Carlo Ancelotti
10,,,,Real Madrid CF
11,,,,50
12,,,,Carlo Ancelotti
13,,,,SSC Napoli
14,,,,12
15,,,,Carlo Ancelotti
16,,,,Paris Saint-Germain
17,,,,10
18,,,,Carlo Ancelotti
19,,,,Parma FC
20,,,,6
21,,,,Carlo Ancelotti
22,,,,Juventus
23,,,,10
24,,,,Sir Alex Ferguson
25,,,,Manchester United FC
26,,,,190
27,,,,Arsène Wenger
28,,,,Arsenal FC
29,,,,171
30,,,,Arsène Wenger
31,,,,AS Monaco FC
32,,,,7
33,,,,Josep Guardiola
34,,,,Manchester City FC
35,,,,74
36,,,,Josep Guardiola
37,,,,FC Barcelona
38,,,,49
39,,,,Josep Guardiola
40,,,,FC Bayern München
41,,,,36
42,,,,José Mourinho
43,,,,Real Madrid CF
44,,,,32
45,,,,José Mourinho
46,,,,Tottenham Hotspur
47,,,,4
48,,,,José Mourinho
49,,,,Manchester United FC
50,,,,14
51,,,,José Mourinho
52,,,,FC Porto
53,,,,17
54,,,,José Mourinho
55,,,,FC Internazionale Milano
56,,,,21
57,,,,José Mourinho
58,,,,Chelsea FC
59,,,,57
60,,,,Mircea Lucescu
61,,,,Beşiktaş JK
62,,,,6
63,,,,Mircea Lucescu
64,,,,FC Shakhtar Donetsk
65,,,,68
66,,,,Mircea Lucescu
67,,,,Galatasaray AŞ
68,,,,26
69,,,,Mircea Lucescu
70,,,,FC Dynamo Kyiv
71,,,,12
72,,,,Mircea Lucescu
73,,,,FC Internazionale Milano
74,,,,3
75,,,,Jürgen Klopp
76,,,,Liverpool FC
77,,,,65
78,,,,Jürgen Klopp
79,,,,Borussia Dortmund
80,,,,35
81,,,,Massimiliano Allegri
82,,,,AC Milan
83,,,,32
84,,,,Massimiliano Allegri
85,,,,Juventus
86,,,,68
87,,,,Louis van Gaal
88,,,,FC Barcelona
89,,,,36
90,,,,Louis van Gaal
91,,,,FC Bayern München
92,,,,21
93,,,,Louis van Gaal
94,,,,AFC Ajax
95,,,,32
96,,,,Louis van Gaal
97,,,,Manchester United FC
98,,,,6
99,,,,Ottmar Hitzfeld
100,,,,FC Bayern München
101,,,,76
102,,,,Ottmar Hitzfeld
103,,,,Borussia Dortmund
104,,,,19
105,,,,Rafael Benítez
106,,,,SSC Napoli
107,,,,6
108,,,,Rafael Benítez
109,,,,Valencia CF
110,,,,14
111,,,,Rafael Benítez
112,,,,Real Madrid CF
113,,,,6
114,,,,Rafael Benítez
115,,,,Liverpool FC
116,,,,62
117,,,,Rafael Benítez
118,,,,FC Internazionale Milano
119,,,,6
120,,,,Rafael Benítez
121,,,,Chelsea FC
122,,,,1
123,,,,Diego Simeone
124,,,,Club Atlético de Madrid
125,,,,93
126,,,,Fabio Capello
127,,,,AC Milan
128,,,,26
129,,,,Fabio Capello
130,,,,AS Roma
131,,,,24
132,,,,Fabio Capello
133,,,,Real Madrid CF
134,,,,8
135,,,,Fabio Capello
136,,,,Juventus
137,,,,20
138,,,,Marcello Lippi
139,,,,Juventus
140,,,,76
141,,,,Ronald Koeman
142,,,,AFC Ajax
143,,,,26
144,,,,Ronald Koeman
145,,,,AZ Alkmaar
146,,,,5
147,,,,Ronald Koeman
148,,,,FC Barcelona
149,,,,11
150,,,,Ronald Koeman
151,,,,Valencia CF
152,,,,3
153,,,,Ronald Koeman
154,,,,SL Benfica
155,,,,10
156,,,,Ronald Koeman
157,,,,PSV Eindhoven
158,,,,13
159,,,,Luciano Spalletti
160,,,,AS Roma
161,,,,30
162,,,,Luciano Spalletti
163,,,,FC Internazionale Milano
164,,,,6
165,,,,Luciano Spalletti
