,Player,Appearances,0
0,,,Cristiano Ronaldo
1,,,183
2,,,Iker Casillas
3,,,177
4,,,Lionel Messi
5,,,163
6,,,Karim Benzema
7,,,(10)
8,,,Xavi Hernández
9,,,151
10,,,Raúl González
11,,,142
12,,,Thomas Müller
13,,,142
14,,,Ryan Giggs
15,,,141
16,,,Toni Kroos
17,,,(12)
18,,,Sergio Ramos
19,,,137
20,,,Manuel Neuer
21,,,131
22,,,Andrés Iniesta
23,,,130
24,,,Sergio Busquets
25,,,129
26,,,Gerard Piqué
27,,,128
28,,,Clarence Seedorf
29,,,125
30,,,Gianluigi Buffon
31,,,124
32,,,Zlatan Ibrahimović
33,,,124
34,,,Paul Scholes
35,,,124
36,,,Roberto Carlos
37,,,120
38,,,Xabi Alonso
39,,,119
40,,,Luka Modrić
41,,,(10)
42,,,Carles Puyol
43,,,115
44,,,David Alaba
45,,,(11)
46,,,Pepe
47,,,113
48,,,Thierry Henry
49,,,112
50,,,Philipp Lahm
51,,,112
52,,,Dani Alves
53,,,111
54,,,Petr Čech
55,,,111
56,,,Robert Lewandowski
57,,,111
58,,,Arjen Robben
59,,,110
60,,,Paolo Maldini
61,,,109
62,,,Gary Neville
63,,,109
64,,,John Terry
65,,,109
66,,,Ashley Cole
67,,,108
68,,,Patrice Evra
69,,,108
70,,,Andrea Pirlo
71,,,108
72,,,David Beckham
73,,,107
74,,,Víctor Valdés
75,,,106
76,,,Thiago Silva
77,,,105
78,,,Frank Lampard
79,,,105
80,,,Cesc Fàbregas
81,,,104
82,,,Oliver Kahn
83,,,103
84,,,Luís Figo
85,,,103
86,,,Fernandinho
87,,,103
88,,,Ángel Di María
89,,,102
90,,,Marcelo
91,,,102
92,,,Andriy Shevchenko
93,,,100
94,,,Alessandro Nesta
95,,,99
96,,,Edwin van der Sar
97,,,98
98,,,Guti
99,,,97
100,,,Javier Zanetti
101,,,97
102,,,Claude Makelele
103,,,96
104,,,Javier Mascherano
105,,,96
106,,,Bastian Schweinsteiger
107,,,95
108,,,Maxwell
109,,,94
110,,,Michael Ballack
111,,,93
112,,,Rio Ferdinand
113,,,93
114,,,Fernando Morientes
115,,,93
116,,,Didier Drogba
117,,,92
118,,,Ivan Rakitić
119,,,91
120,,,Alessandro Del Piero
121,,,88
122,,,Hasan Salihamidžić
123,,,88
124,,,Raphaël Varane
125,,,88
126,,,İlkay Gündoğan
127,,,(13)
128,,,Bernardo Silva
129,,,(13)
130,,,Esteban Cambiasso
131,,,79
132,,,Dani Carvajal
133,,,(11)
134,,,Phillip Cocu
135,,,79
136,,,Gennaro Gattuso
137,,,79
138,,,Mohamed Salah
139,,,79
140,,,Fernando Torres
141,,,79
142,,,Marco Verratti
143,,,79
144,,,Isco
145,,,78
146,,,Samuel Eto’o
147,,,78
148,,,Alex Sandro
149,,,78
150,,,Mats Hummels
151,,,77
152,,,Sami Khedira
153,,,77
154,,,Olexandr Shovkovskiy
155,,,77
156,,,Ole Gunnar Solskjær
157,,,77
158,,,Alessio Tacchinardi
159,,,77
160,,,Douglas Costa
161,,,76
162,,,Michael Essien
163,,,76
164,,,Pepe Reina
165,,,76
166,,,Pedro Rodríguez
167,,,76
168,,,Wesley Sneijder
169,,,76
170,,,Marc-André ter Stegen
171,,,76
172,,,Mark van Bommel
173,,,76
174,,,Patrick Vieira
175,,,76
176,,,Sylvain Wiltord
177,,,76
178,,,César Azpilicueta
179,,,75
180,,,Thibaut Courtois
181,,,(10)
182,,,Deco
183,,,75
184,,,Edin Džeko
185,,,(13)
186,,,Giorgio Chiellini
187,,,74
188,,,Edgar Davids
189,,,74
190,,,Pavel Nedvěd
191,,,74
192,,,Iván Helguera
193,,,87
194,,,Franck Ribéry
195,,,87
196,,,Dejan Stanković
197,,,87
198,,,Ricardo Carvalho
199,,,86
200,,,Kaká
201,,,86
202,,,Koke
203,,,86
204,,,Jérôme Boateng
205,,,85
206,,,Antoine Griezmann
207,,,85
208,,,Wayne Rooney
209,,,85
210,,,Jordi Alba
211,,,84
212,,,Leonardo Bonucci
213,,,84
214,,,Lúcio
215,,,83
216,,,Gonzalo Higuaín
217,,,83
218,,,Florent Malouda
219,,,83
220,,,Miralem Pjanić
221,,,83
222,,,Arturo Vidal
223,,,83
224,,,Massimo Ambrosini
225,,,82
226,,,Thiago Motta
227,,,82
228,,,Robert Pirès
229,,,82
230,,,Mikaël Silvestre
231,,,82
232,,,Raheem Sterling
233,,,82
234,,,Marquinhos
235,,,81
236,,,Casemiro
237,,,81
238,,,Neymar
239,,,81
240,,,Frank de Boer
241,,,81
242,,,Sergei Ignashevich
243,,,81
244,,,Filippo Inzaghi
245,,,81
246,,,Míchel Salgado
247,,,81
248,,,Thiago Alcántara
249,,,80
250,,,Jamie Carragher
251,,,80
252,,,Zinédine Zidane
253,,,80
254,,,Sergio Agüero
255,,,79
256,,,Jan Oblak
257,,,74
258,,,Nicolás Otamendi
259,,,74
260,,,Christian Panucci
261,,,74
262,,,Michael Reiziger
263,,,74
264,,,John Arne Riise
265,,,74
266,,,Rivaldo
267,,,73
268,,,Gaël Clichy
269,,,73
270,,,Steven Gerrard
271,,,73
272,,,Sidney Govou
273,,,73
274,,,James Milner
275,,,73
276,,,Claudio Pizarro
277,,,73
278,,,Luis Suárez
279,,,73
280,,,Ruud van Nistelrooy
281,,,73
282,,,Dida
283,,,72
284,,,Rafinha
285,,,72
286,,,Samuel Kuffour
287,,,72
288,,,Álvaro Morata
289,,,72
290,,,Andriy Pyatov
291,,,72
