,Player,Club,Goals,0
0,,,,Cristiano Ronaldo
1,,,,Real Madrid CF
2,,,,105
3,,,,Cristiano Ronaldo
4,,,,Juventus
5,,,,14
6,,,,Cristiano Ronaldo
7,,,,Manchester United FC
8,,,,21
9,,,,Lionel Messi
10,,,,FC Barcelona
11,,,,120
12,,,,Lionel Messi
13,,,,Paris Saint-Germain
14,,,,9
15,,,,Robert Lewandowski
16,,,,Borussia Dortmund
17,,,,17
18,,,,Robert Lewandowski
19,,,,FC Bayern München
20,,,,69
21,,,,Robert Lewandowski
22,,,,FC Barcelona
23,,,,5
24,,,,Karim Benzema
25,,,,Olympique Lyonnais
26,,,,12
27,,,,Karim Benzema
28,,,,Real Madrid CF
29,,,,78
30,,,,Raúl González
31,,,,Real Madrid CF
32,,,,66
33,,,,Raúl González
34,,,,FC Schalke 04
35,,,,5
36,,,,Ruud van Nistelrooy
37,,,,PSV Eindhoven
38,,,,8
39,,,,Ruud van Nistelrooy
40,,,,Manchester United FC
41,,,,35
42,,,,Ruud van Nistelrooy
43,,,,Real Madrid CF
44,,,,13
45,,,,Thomas Müller
46,,,,FC Bayern München
47,,,,53
48,,,,Thierry Henry
49,,,,AS Monaco FC
50,,,,7
51,,,,Thierry Henry
52,,,,Arsenal FC
53,,,,35
54,,,,Thierry Henry
55,,,,FC Barcelona
56,,,,8
57,,,,Zlatan Ibrahimović
58,,,,AFC Ajax
59,,,,6
60,,,,Zlatan Ibrahimović
61,,,,Juventus
62,,,,3
63,,,,Zlatan Ibrahimović
64,,,,FC Internazionale Milano
65,,,,6
66,,,,Zlatan Ibrahimović
67,,,,FC Barcelona
68,,,,4
69,,,,Zlatan Ibrahimović
70,,,,Paris Saint-Germain
71,,,,20
72,,,,Zlatan Ibrahimović
73,,,,Manchester United FC
74,,,,0
75,,,,Zlatan Ibrahimović
76,,,,AC Milan
77,,,,9
78,,,,Andriy Shevchenko
79,,,,AC Milan
80,,,,29
81,,,,Andriy Shevchenko
82,,,,Chelsea FC
83,,,,4
84,,,,Andriy Shevchenko
85,,,,FC Dynamo Kyiv
86,,,,15
87,,,,Filippo Inzaghi
88,,,,Juventus
89,,,,17
90,,,,Filippo Inzaghi
91,,,,AC Milan
92,,,,29
93,,,,Didier Drogba
94,,,,Olympique de Marseille
95,,,,5
96,,,,Didier Drogba
97,,,,Galatasaray AŞ
98,,,,3
99,,,,Didier Drogba
100,,,,Chelsea FC
101,,,,36
102,,,,Mohamed Salah
103,,,,FC Basel 1893
104,,,,2
105,,,,Mohamed Salah
106,,,,Chelsea FC
107,,,,0
108,,,,Mohamed Salah
109,,,,AS Roma
110,,,,1
111,,,,Mohamed Salah
112,,,,Liverpool FC
113,,,,41
114,,,,Neymar
115,,,,FC Barcelona
116,,,,21
117,,,,Neymar
118,,,,Paris Saint-Germain
119,,,,22
120,,,,Alessandro Del Piero
121,,,,Juventus
122,,,,42
123,,,,Sergio Agüero
124,,,,Club Atlético de Madrid
125,,,,5
126,,,,Sergio Agüero
127,,,,Manchester City FC
128,,,,36
129,,,,Sergio Agüero
130,,,,FC Barcelona
131,,,,0
132,,,,Kylian Mbappé
133,,,,AS Monaco FC
134,,,,6
135,,,,Kylian Mbappé
136,,,,Paris Saint-Germain
137,,,,34
138,,,,Edinson Cavani
139,,,,SSC Napoli
140,,,,5
141,,,,Edinson Cavani
142,,,,Paris Saint-Germain
143,,,,30
144,,,,Edinson Cavani
145,,,,Manchester United FC
146,,,,0
147,,,,Erling Haaland
148,,,,FC Salzburg
149,,,,8
150,,,,Erling Haaland
151,,,,Borussia Dortmund
152,,,,15
153,,,,Erling Haaland
154,,,,Manchester City FC
155,,,,12
156,,,,Fernando Morientes
157,,,,Real Madrid CF
158,,,,17
159,,,,Fernando Morientes
160,,,,AS Monaco FC
161,,,,9
162,,,,Fernando Morientes
163,,,,Liverpool FC
164,,,,1
165,,,,Fernando Morientes
166,,,,Valencia CF
167,,,,6
168,,,,Arjen Robben
169,,,,PSV Eindhoven
170,,,,3
171,,,,Arjen Robben
172,,,,Chelsea FC
173,,,,2
174,,,,Arjen Robben
175,,,,Real Madrid CF
176,,,,1
177,,,,Arjen Robben
178,,,,FC Bayern München
179,,,,25
180,,,,Samuel Eto’o
181,,,,RCD Mallorca
182,,,,1
183,,,,Samuel Eto’o
184,,,,FC Barcelona
185,,,,16
186,,,,Samuel Eto’o
187,,,,FC Internazionale Milano
188,,,,10
189,,,,Samuel Eto’o
190,,,,Chelsea FC
191,,,,3
192,,,,Antoine Griezmann
193,,,,FC Barcelona
194,,,,4
195,,,,Antoine Griezmann
196,,,,Club Atlético de Madrid
197,,,,26
198,,,,Kaká
199,,,,Real Madrid CF
200,,,,5
201,,,,Kaká
202,,,,AC Milan
203,,,,25
204,,,,Wayne Rooney
205,,,,Manchester United FC
206,,,,30
207,,,,Edin Džeko
208,,,,VfL Wolfsburg
209,,,,4
210,,,,Edin Džeko
211,,,,Manchester City FC
212,,,,3
213,,,,Edin Džeko
214,,,,AS Roma
215,,,,15
216,,,,Edin Džeko
217,,,,FC Internazionale Milano
218,,,,7
219,,,,Patrick Kluivert
220,,,,AFC Ajax
221,,,,9
222,,,,Patrick Kluivert
